Streaming output truncated to the last 5000 lines.
{'t': 30.460000000001962, 'V': 65.6479180800872, 'n': 0.40805184308490183, 'm': 0.44527967908327, 'h': 0.4461601565618708}
{'t': 30.470000000001964, 'V': 68.54058125864861, 'n': 0.41113406321470547, 'm': 0.4677574673358176, 'h': 0.4418359086588073}
{'t': 30.480000000001965, 'V': 71.55936967759811, 'n': 0.4143730578436152, 'm': 0.49081808123588305, 'h': 0.4375219386277397}
{'t': 30.490000000001967, 'V': 74.68635259226008, 'n': 0.4177740499935644, 'm': 0.5143842727524516, 'h': 0.4332252237912235}
{'t': 30.500000000001968, 'V': 77.89584496396348, 'n': 0.42134080237039545, 'm': 0.5383570731360943, 'h': 0.42895154710035305}
{'t': 30.51000000000197, 'V': 81.15406203134522, 'n': 0.4250751675756944, 'm': 0.5626156059560462, 'h': 0.42470554229633745}
{'t': 30.52000000000197, 'V': 84.41944618513308, 'n': 0.4289766468066012, 'm': 0.5870184044467233, 'h': 0.42049079433281994}
{'t': 30.530000000001973, 'V': 87.64386400004595, 'n': 0.43304200062607867, 'm': 0.6114064573927257, 'h': 0.41630997633753114}
{'t': 30.540000000001974, 'V': 90.77478326513351, 'n': 0.4372649636165882, 'm': 0.6356080384588496, 'h': 0.4121650031383868}
{'t': 30.550000000001976, 'V': 93.75838528027299, 'n': 0.4416361165963371, 'm': 0.6594451444131446, 'h': 0.4080571838253889}
{'t': 30.560000000001978, 'V': 96.5433646782965, 'n': 0.4461429622585329, 'm': 0.6827411067173556, 'h': 0.4039873606238956}
{'t': 30.57000000000198, 'V': 99.08496323983908, 'n': 0.4507702307574243, 'm': 0.7053286979301826, 'h': 0.39995602688138693}
{'t': 30.58000000000198, 'V': 101.34864123492986, 'n': 0.4555004120299991, 'm': 0.7270578919943269, 'h': 0.39596342185768724}
{'t': 30.590000000001982, 'V': 103.31277329373962, 'n': 0.4603144763881816, 'm': 0.747802413417129, 'h': 0.39200960349657166}
{'t': 30.600000000001984, 'V': 104.9698970777867, 'n': 0.46519271216027575, 'm': 0.7674643530774985, 'h': 0.3880945023018884}
{'t': 30.610000000001985, 'V': 106.3263187825082, 'n': 0.4701155877680629, 'm': 0.7859764188658737, 'h': 0.38421796012190296}
{'t': 30.620000000001987, 'V': 107.40021266537126, 'n': 0.4750645420592818, 'm': 0.8033017607863384, 'h': 0.3803797575042174}
{'t': 30.63000000000199, 'V': 108.2186402859763, 'n': 0.48002262230975606, 'm': 0.8194316694705376, 'h': 0.3765796327328315}
{'t': 30.64000000000199, 'V': 108.81407513092647, 'n': 0.4849749195564161, 'm': 0.8343817091050107, 'h': 0.37281729498968713}
{'t': 30.65000000000199, 'V': 109.22101801039062, 'n': 0.4899087872314595, 'm': 0.8481869628726483, 'h': 0.3690924334569305}
{'t': 30.660000000001993, 'V': 109.47315492544894, 'n': 0.4948138621124956, 'm': 0.860897042018503, 'h': 0.36540472365873045}
{'t': 30.670000000001995, 'V': 109.60130675965198, 'n': 0.49968192955032636, 'm': 0.8725713780874974, 'h': 0.36175383194321153}
{'t': 30.680000000001996, 'V': 109.6322191697048, 'n': 0.5045066851360132, 'm': 0.8832751378446548, 'h': 0.3581394187121694}
{'t': 30.690000000001998, 'V': 109.58809070668515, 'n': 0.5092834437245645, 'm': 0.8930759228420292, 'h': 0.35456114079847506}
{'t': 30.700000000002, 'V': 109.48665625589463, 'n': 0.5140088377568081, 'm': 0.9020412735653053, 'h': 0.3510186532490652}
{'t': 30.710000000002, 'V': 109.34162462578504, 'n': 0.5186805343993812, 'm': 0.9102369043715444, 'h': 0.34751161067849323}
{'t': 30.720000000002003, 'V': 109.16329336019129, 'n': 0.5232969886610387, 'm': 0.9177255474060321, 'h': 0.34403966830016325}
